y;timestamp;z;x
-0,016459655761718751;1573466051000;-0,99425913492838547;0,01284942626953125
-0,0163116455078125;1573466051000;-0,99420522054036453;0,012823486328125
-0,016291300455729168;1573466051000;-0,99410654703776047;0,01278076171875
-0,016495768229166666;1573466051000;-0,9940511067708333;0,012854512532552083
-0,016498311360677084;1573466051000;-0,9941253662109375;0,012993367513020833
-0,016561381022135415;1573466051000;-0,99425506591796875;0,013498433430989583
-0,016521708170572916;1573466051000;-0,9946680704752604;0,01483154296875
-0,016711425781250001;1573466051000;-0,99761708577473962;0,021734619140625001
-0,016911824544270832;1573466052000;-0,99544982910156254;0,053490702311197916
-0,016790262858072915;1573466052000;-0,9804468790690104;0,11970876057942709
-0,016923014322916666;1573466052000;-0,94568430582682295;0,21549123128255207
-0,0171356201171875;1573466052000;-0,90157368977864583;0,32624918619791665
-0,017920430501302084;1573466052000;-0,84238230387369795;0,44954630533854167
-0,018376668294270832;1573466052000;-0,76514180501302087;0,58028462727864583
-0,018403625488281249;1573466052000;-0,66766103108723962;0,69846801757812504
-0,01908111572265625;1573466052000;-0,55331471761067708;0,79178822835286455
-0,019919331868489584;1573466052000;-0,44364522298177084;0,85868682861328127
-0,020966084798177083;1573466053000;-0,33081461588541666;0,9116038004557292
-0,021387227376302085;1573466053000;-0,22720692952473959;0,95139617919921871
-0,022088114420572916;1573466053000;-0,13893941243489583;0,97819163004557297
-0,023321533203125001;1573466053000;-0,076075236002604171;0,99262390136718748
-0,023983764648437499;1573466053000;-0,040993245442708333;0,99750518798828125
-0,024361673990885416;1573466053000;-0,023327128092447916;0,99919535319010422
-0,024319458007812499;1573466053000;-0,020595804850260416;0,99952596028645835
-0,024366760253906251;1573466053000;-0,022405497233072915;0,99948679606119795
-0,024464925130208332;1573466053000;-0,021923828124999999;0,99950052897135422
-0,024451700846354167;1573466053000;-0,019701639811197918;0,99949747721354165
-0,024242146809895834;1573466054000;-0,029961140950520833;0,99875284830729172
-0,029260762532552085;1573466054000;-0,058641052246093749;0,99543355305989578
-0,024014282226562499;1573466054000;-0,090160624186197913;0,99064381917317712
-0,023020426432291668;1573466054000;-0,14270629882812499;0,9792699178059896
-0,021909077962239582;1573466054000;-0,22159729003906251;0,95740915934244797
-0,020595296223958334;1573466054000;-0,32010498046875002;0,92405242919921871
-0,019544474283854165;1573466054000;-0,42013804117838544;0,8809529622395833
-0,015618387858072917;1573466054000;-0,51124267578125004;0,82475636800130203
-0,0167236328125;1573466054000;-0,61439259847005212;0,75320841471354172
-0,016667175292968749;1573466054000;-0,7105692545572917;0,66492665608723955
-0,015698242187499999;1573466055000;-0,78442077636718754;0,57776387532552087
-0,013700358072916667;1573466055000;-0,84444478352864583;0,48955128987630209
-0,0099273681640625003;1573466055000;-0,89645792643229172;0,39349619547526044
-0,0031290690104166666;1573466055000;-0,94630279541015627;0,29747619628906252
-0,00067342122395833333;1573466055000;-0,97042948404947915;0,21114857991536459
-0,00091094970703125004;1573466055000;-0,98396402994791665;0,14469757080078124
-0,0018519083658854166;1573466055000;-0,99428100585937496;0,08907318115234375
-0,0036198933919270831;1573466055000;-1,000348409016927;0,04630635579427083
-0,0072992960611979168;1573466055000;-1,0023935953776042;0,021778361002604166
-0,011627705891927083;1573466055000;-0,99479929606119788;0,01268768310546875
-0,017015075683593749;1573466056000;-0,9955510457356771;0,010914611816406249
-0,016707356770833334;1573466056000;-0,99351094563802078;0,012646484374999999
-0,016519165039062499;1573466056000;-0,99348347981770835;0,012828572591145834
-0,016688537597656251;1573466056000;-0,99352976481119792;0,012727864583333333
-0,016722615559895834;1573466056000;-0,9935521443684896;0,012708028157552084
-0,016726175944010418;1573466056000;-0,99354502360026042;0,012847391764322917
